Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	JONES	WALTER B.		O	NC03	2008	5/13/2008	8135878
HONORABLE	KING	STEVE		O	IA05	2008	5/15/2008	8135889
HONORABLE	KLINE	JOHN		O	MN02	2008	5/14/2008	8135891
HONORABLE	MARCHANT	KENNY		O	TX24	2008	6/19/2008	8138769
HONORABLE	MCCOLLUM	BETTY		A	MN04	2008	6/5/2008	8138015
HONORABLE	MCCOLLUM	BETTY		O	MN04	2008	5/15/2008	8135918
HONORABLE	MEEK	KENDRICK B.		O	FL17	2008	5/19/2008	8135937
HONORABLE	MILLER	BRAD		O	NC13	2008	5/20/2008	8135946
HONORABLE	MILLER	JEFF		O	FL01	2008	5/15/2008	8135945
HONORABLE	MURPHY	TIM		O	PA18	2008	5/22/2008	8135954
HONORABLE	MYRICK	SUE WILKINS		A	NC09	2008	12/17/2008	8139553
HONORABLE	MYRICK	SUE WILKINS		O	NC09	2008	5/15/2008	8135957
HONORABLE	PASCRELL	BILL	JR.	O	NJ08	2008	5/6/2008	8135969
HONORABLE	PASTOR	ED		A	AZ04	2008	6/4/2008	8138017
HONORABLE	PELOSI	NANCY		O	CA08	2008	5/15/2008	8135973
HONORABLE	POMEROY	EARL		O	ND00	2008	5/15/2008	8135980
HONORABLE	PRICE	DAVID E.		O	NC04	2008	5/15/2008	8138330
HONORABLE	RAMSTAD	JIM		O	MN03	2008	5/15/2008	8135742
HONORABLE	REHBERG	DENNIS R.		O	MT00	2008	6/12/2008	8138331
HONORABLE	WEINER	ANTHONY D.		O	NY09	2008	5/15/2008	8135830
HONORABLE	ACKERMAN	GARY L.		O	NY05	2008	5/15/2008	8135598
HONORABLE	ALTMIRE	JASON		A	PA04	2008	3/26/2009	8139862
HONORABLE	BARROW	JOHN		O	GA12	2008	4/29/2008	8135611
HONORABLE	BISHOP	ROB		O	UT01	2008	5/15/2008	8135620
HONORABLE	BOSWELL	LEONARD L.		O	IA03	2008	5/13/2008	8135632
HONORABLE	BOUSTANY	CHARLES W.	JR.	O	LA07	2008	5/12/2008	8135634
HONORABLE	BROWN-WAITE	GINNY		O	FL05	2008	5/15/2008	8135639
HONORABLE	CALVERT	KEN		O	CA44	2008	5/15/2008	8135644
HONORABLE	CAMP	DAVE		O	MI04	2008	5/14/2008	8135645
HONORABLE	COBLE	HOWARD		O	NC06	2008	5/15/2008	8135664
HONORABLE	COHEN	STEVE		O	TN09	2008	5/14/2008	8135665
HONORABLE	COOPER	JIM		A	TN05	2008	11/17/2008	8139493
HONORABLE	COSTA	JIM		O	CA20	2008	5/15/2008	8135669
HONORABLE	CUELLAR	HENRY		A	TX28	2008	6/19/2008	8138708
HONORABLE	DAVIS	DANNY K.		O	IL07	2008	5/15/2008	8135680
HONORABLE	DAVIS	DAVID		O	TN01	2008	5/15/2008	8135681
HONORABLE	DAVIS	TOM		O	VA11	2008	5/15/2008	8135683
HONORABLE	DEGETTE	DIANA		O	CO01	2008	5/15/2008	8135686
HONORABLE	DOYLE	MICHAEL F.		O	PA14	2008	5/14/2008	8135696
HONORABLE	DUNCAN	JOHN J.	JR.	O	TN02	2008	5/13/2008	8135699
HONORABLE	EMERSON	JO ANN		O	MO08	2008	5/15/2008	8135705
HONORABLE	FORTENBERRY	JEFF		O	NE01	2008	5/15/2008	8135720
HONORABLE	GARRETT	SCOTT		O	NJ05	2008	5/15/2008	8135729
HONORABLE	GINGREY	PHIL		A	GA11	2008	6/26/2009	8142908
HONORABLE	HALL	RALPH M.		O	TX04	2008	4/29/2008	8135846
HONORABLE	HARE	PHIL		O	IL17	2008	5/15/2008	8135847
HONORABLE	HONDA	MICHAEL M.		O	CA15	2008	5/15/2008	8135862
HONORABLE	HOOLEY	DARLENE		O	OR05	2008	5/14/2008	8135863
HONORABLE	INGLIS	BOB		O	SC04	2008	5/14/2008	8135868
HONORABLE	JINDAL	BOBBY		T	LA01	2008	2/5/2008	8135048
HONORABLE	KANJORSKI	PAUL E.		A	PA11	2008	7/17/2008	8138895
HONORABLE	LANGEVIN	JAMES R.		O	RI02	2008	5/15/2008	8135899
HONORABLE	MACK	CONNIE		O	FL14	2008	8/1/2008	8139028
HONORABLE	MARKEY	EDWARD J.		O	MA07	2008	5/15/2008	8135933
HONORABLE	MARSHALL	JIM		O	GA08	2008	5/15/2008	8135934
HONORABLE	MCCARTHY	CAROLYN		O	NY04	2008	5/8/2008	8135916
HONORABLE	MCCRERY	JIM		O	LA04	2008	5/15/2008	8135921
HONORABLE	MCHUGH	JOHN M.		A	NY23	2008	5/15/2008	8135926
HONORABLE	MCMORRIS RODGERS	CATHY		O	WA05	2008	5/15/2008	8135750
HONORABLE	MICHAUD	MICHAEL H.		O	ME02	2008	5/8/2008	8135941
HONORABLE	MILLER	GARY G.		O	CA42	2008	5/14/2008	8135943
HONORABLE	MILLER	GEORGE		A	CA07	2008	7/25/2008	8138981
HONORABLE	MOORE	GWEN		O	WI04	2008	5/14/2008	8135949
HONORABLE	MURTHA	JOHN P.		O	PA12	2008	5/14/2008	8135955
HONORABLE	NADLER	JERROLD		O	NY08	2008	5/14/2008	8135958
HONORABLE	OBERSTAR	JAMES L.		O	MN08	2008	5/15/2008	8135964
HONORABLE	PASTOR	ED		O	AZ04	2008	5/2/2008	8135970
HONORABLE	PEARCE	STEVAN		O	NM02	2008	6/11/2008	8138205
HONORABLE	PENCE	MIKE		O	IN06	2008	5/15/2008	8135974
HONORABLE	PRICE	TOM		O	GA06	2008	5/14/2008	8138018
HONORABLE	ALEXANDER	RODNEY		O	LA05	2008	5/14/2008	8135601
HONORABLE	ALLEN	THOMAS H.		O	ME01	2008	5/15/2008	8135602
HONORABLE	ARCURI	MICHAEL A.		O	NY24	2008	5/15/2008	8135605
HONORABLE	BACHUS	SPENCER		O	AL06	2008	5/15/2008	8138328
	BARLETTA	LOU		O	PA11	2008	3/24/2013	8135284
HONORABLE	BLACKBURN	MARSHA		O	TN07	2008	5/15/2008	8135623
HONORABLE	BLUMENAUER	EARL		O	OR03	2008	5/20/2008	8135625
HONORABLE	BROUN	PAUL C.		O	GA10	2008	5/30/2008	8138007
HONORABLE	BUCHANAN	VERN		A	FL13	2008	8/8/2012	8207464
HONORABLE	CAPUANO	MICHAEL E.		A	MA08	2008	7/9/2008	8138828
HONORABLE	CARDOZA	DENNIS A.		O	CA18	2008	5/15/2008	8135651
HONORABLE	CLYBURN	JAMES E.		O	SC06	2008	5/15/2008	8135663
HONORABLE	CONYERS	JOHN	JR.	O	MI14	2008	5/15/2008	8135668
HONORABLE	COSTELLO	JERRY F.		O	IL12	2008	5/14/2008	8135670
HONORABLE	DEAL	NATHAN		A	GA09	2008	7/16/2008	8138890
HONORABLE	DREIER	DAVID		O	CA26	2008	5/15/2008	8135698
HONORABLE	EVERETT	TERRY		A	AL02	2008	6/16/2008	8138625
HONORABLE	FEENEY	TOM		O	FL24	2008	5/15/2008	8135716
	FILNER	BOB		O	CA51	2008	5/15/2008	8135718
HONORABLE	FRANK	BARNEY		O	MA04	2008	5/14/2008	8135724
HONORABLE	GILCHREST	WAYNE T.		O	MD01	2008	5/7/2008	8135730
HONORABLE	GUTIERREZ	LUIS V.		O	IL04	2008	5/15/2008	8135739
HONORABLE	HERSETH SANDLIN	STEPHANIE		O	SD00	2008	5/15/2008	8135854
HONORABLE	HOLT	RUSH D.		O	NJ12	2008	5/14/2008	8135861
HONORABLE	HOOLEY	DARLENE		A	OR05	2008	4/14/2009	8139919
HONORABLE	HULSHOF	KENNY C.		A	MO09	2008	6/12/2008	8138282
HONORABLE	HULSHOF	KENNY C.		O	MO09	2008	5/15/2008	8135866
HONORABLE	HUNTER	DUNCAN		A	CA52	2008	6/12/2008	8138329
HONORABLE	JOHNSON	HENRY C. "HANK"	JR.	O	GA04	2008	5/15/2008	8135874
HONORABLE	JOHNSON	TIMOTHY V.		O	IL15	2008	5/9/2008	8135876
HONORABLE	KENNEDY	PATRICK J.		O	RI01	2008	5/15/2008	8135885
HONORABLE	KLEIN	RON		O	FL22	2008	5/15/2008	8135892
HONORABLE	KNOLLENBERG	JOE		O	MI09	2008	5/13/2008	8135893
HONORABLE	KUCINICH	DENNIS J.		O	OH10	2008	5/15/2008	8135894
HONORABLE	LATOURETTE	STEVEN C.		O	OH14	2008	5/15/2008	8135903
HONORABLE	LEVIN	SANDER M.		O	MI12	2008	5/15/2008	8135906
HONORABLE	LEWIS	RON		O	KY02	2008	5/14/2008	8135908
HONORABLE	LOEBSACK	DAVID		O	IA02	2008	5/15/2008	8135911
HONORABLE	LOFGREN	ZOE		O	CA16	2008	6/16/2008	8138632
HONORABLE	MCCOLLUM	BETTY		A	MN04	2008	5/15/2008	8135919
HONORABLE	MCKEON	HOWARD P. "BUCK"		O	CA25	2008	6/20/2008	8138745
HONORABLE	MEEKS	GREGORY W.		O	NY06	2008	5/15/2008	8135938
HONORABLE	MILLER	CANDICE S.		O	MI10	2008	5/14/2008	8135942
HONORABLE	MILLER	GEORGE		O	CA07	2008	5/15/2008	8135944
HONORABLE	MOLLOHAN	ALAN B.		O	WV01	2008	5/15/2008	8135947
HONORABLE	MOORE	DENNIS		O	KS03	2008	5/13/2008	8135948
HONORABLE	NEAL	RICHARD E.		O	MA02	2008	5/14/2008	8135960
HONORABLE	PAYNE	DONALD M.		A	NJ10	2008	6/18/2008	8138643
HONORABLE	PICKERING	CHARLES W. "CHIP"		O	MS03	2008	6/16/2008	8138630
HONORABLE	ADERHOLT	ROBERT B.		A	AL04	2008	1/7/2009	8139590
HONORABLE	BECERRA	XAVIER		O	CA31	2008	6/30/2008	8138800
HONORABLE	BILIRAKIS	GUS M.		O	FL09	2008	5/15/2008	8135619
HONORABLE	BORDALLO	MADELEINE Z.		O	GU00	2008	5/12/2008	8135630
HONORABLE	BOYDA	NANCY E.		O	KS02	2008	6/24/2008	8138763
HONORABLE	BRADY	ROBERT A.		O	PA01	2008	5/15/2008	8135635
