Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	BLUMENAUER	EARL		O	OR03	2012	5/23/2012	8205370
	BOLAND	RAYMOND G.		O	WI03	2012	5/23/2012	8208635
HONORABLE	BONNER	JO		O	AL01	2012	5/15/2012	8205373
	BOTEACH	SHMULEY		O	NJ09	2012	5/10/2012	8208334
	BOYD	KEVIN ROBERT		O	IN03	2012	4/5/2012	8208050
HONORABLE	BROUN	PAUL C.		A	GA10	2012	1/2/2014	8213736
	BROWN	RACHEL ELIZABETH		O	MA04	2012	8/29/2012	8208551
HONORABLE	BUCSHON	LARRY		O	IN08	2012	5/14/2012	8205380
HONORABLE	BUERKLE	ANN MARIE		X	NY25	2012	5/24/2012	8206882
	BYBERG	VIDAR LEE		O	MN07	2012	11/7/2012	8209421
	BYRD	JEFFERSON LEE		O	NM03	2012	3/7/2012	8208016
HONORABLE	CARDOZA	DENNIS A.		O	CA18	2012	5/15/2012	8205391
HONORABLE	CARSON	ANDRE		O	IN07	2012	6/15/2012	8206386
	CASTRO	JOAQUIN		A	TX20	2012	1/7/2013	8209630
HONORABLE	CHU	JUDY		O	CA32	2012	5/15/2012	8205401
	CLARK	MICHAEL		W	CT05	2012	10/18/2012	8209286
HONORABLE	COBLE	HOWARD		O	NC06	2012	5/15/2012	8205408
	COLLINS	DOUGLAS ALLEN		A	GA09	2012	12/20/2012	8209585
HONORABLE	CONAWAY	K. MICHAEL		O	TX11	2012	5/15/2012	8205412
HONORABLE	CONYERS	JOHN	JR.	X	MI14	2012	5/16/2012	8206886
	COOLEY	JOSEPH DILLARD	III	O	GA09	2012	7/2/2012	8208458
	COOLIDGE	LESLIE ANNE		O	IL02	2012	5/23/2012	8208601
	COTTON	THOMAS BRYANT		O	AR04	2012	5/31/2012	8208699
	COWAN	RICH		O	WA05	2012	5/23/2012	8208861
	CRIMMINS	MICHAEL		O	CA51	2012	3/21/2012	8208033
HONORABLE	CRITZ	MARK S.		A	PA12	2012	5/21/2012	8205420
	CROOKS	DAVID L.		O	IN08	2012	6/21/2012	8208446
	CROWDER	ROBERT L.		O	FL18	2012	8/15/2012	8208536
	CULLARI	ERNESTO P.		O	NJ06	2012	10/3/2012	8209068
	CUMMINGS	LAUREEN A.		O	PA17	2012	7/19/2012	8208489
	DACQUISTO	MICHAEL		X	CA01	2012	4/27/2012	8207049
	DAVIS	DANNY EDWARD		O	MI07	2012	5/24/2012	8208422
HONORABLE	DAVIS	DANNY K.		X	IL07	2012	5/17/2012	8206888
HONORABLE	DEGETTE	DIANA		A	CO01	2012	6/22/2012	8206438
	DEMOS	GEORGE		O	NY01	2012	10/25/2012	8209315
	CURSON	DAVID		O	MI11	2012	10/4/2012	8209088
	DANET	VINCENT EMILE		D	VI01	2012	10/11/2012	8209166
	DAVIS	STEVEN A.		W	IN07	2012	8/22/2012	8208791
	DECKER	JOHN HENRY		X	CT01	2012	5/17/2012	8207073
	DECKER	JOHN HENRY		O	CT01	2012	7/9/2012	8208473
	DELEON	DONALD RAMON		D	TX27	2012	7/23/2012	8206717
HONORABLE	DEUTCH	THEODORE E.		O	FL19	2012	5/15/2012	8205432
	DIEBEL	KAREN		W	FL26	2012	10/17/2012	8209287
	DOBSON	MELISSA K.		D	NY23	2012	5/16/2012	8206168
	DOHENY	MATTHEW A.		X	NY23	2012	5/17/2012	8207074
	DOUGLASS	JOHN W.		O	VA05	2012	5/17/2012	8208622
	DOWNS	KEVIN E.		O	PA04	2012	4/6/2012	8208072
HONORABLE	DREIER	DAVID		X	CA26	2012	5/14/2012	8206855
	DRUMMOND	WILLIAM "CLEAVE"	II	D	FL02	2012	1/9/2013	8209649
	DUCKWORTH	L. TAMMY		A	IL08	2012	1/8/2013	8209633
	DUMAS	CHARLES		O	PA05	2012	9/6/2012	8208292
	DUNCAN	KENNETH		D	TX23	2012	8/23/2012	8208764
	DUTTON	ROBERT BOB		O	CA31	2012	5/2/2012	8208153
HONORABLE	ELLMERS	RENEE L.		O	NC02	2012	5/15/2012	8205443
HONORABLE	EMERSON	JO ANN		X	MO08	2012	5/22/2012	8206890
HONORABLE	ENGEL	ELIOT L.		O	NY17	2012	5/15/2012	8205446
	ETIENNE	MICHAEL A.		D	FL24	2012	12/19/2012	8209561
	EWING	JOHN W.	JR.	O	NE02	2012	5/21/2012	8208560
	FARLEY	STEVE		W	AZ02	2012	5/16/2012	8206951
	FEATHERMAN	JOHN		O	PA01	2012	10/24/2012	8209316
HONORABLE	FILNER	BOB		O	CA51	2012	7/13/2012	8206596
HONORABLE	FILNER	BOB		T	CA51	2012	1/10/2013	8209657
	FISHMAN	DANIEL		D	MA06	2012	8/15/2012	8208767
	FITRAKIS	ROBERT J.		D	OH03	2012	2/22/2012	8207691
HONORABLE	FLEISCHMANN	CHARLES J. "CHUCK"		A	TN03	2012	6/29/2012	8206502
HONORABLE	FLORES	BILL		X	TX17	2012	4/25/2012	8206846
